# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Mumbai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87608b1a2ffffff,18.94299,72.94416,29,70.5
87608b1a2ffffff,18.94299,72.94416,30,65.5
87608b1a2ffffff,18.94299,72.94416,31,65.1
87608b1a2ffffff,18.94299,72.94416,32,67.0
87608b1a2ffffff,18.94299,72.94416,33,118.0
87608b1a2ffffff,18.94299,72.94416,34,156.3
87608b1a2ffffff,18.94299,72.94416,35,157.2
87608b1a2ffffff,18.94299,72.94416,36,155.0
87608b1a2ffffff,18.94299,72.94416,37,160.6
87608b1a2ffffff,18.94299,72.94416,38,121.2
87608b1a2ffffff,18.94299,72.94416,39,94.6
87608b1a2ffffff,18.94299,72.94416,40,71.0
87608b1a2ffffff,18.94299,72.94416,41,62.1
87608b1a3ffffff,18.93474,72.92390,0,171.6
87608b1a3ffffff,18.93474,72.92390,1,188.6
87608b1a3ffffff,18.93474,72.92390,2,155.6
87608b1a3ffffff,18.93474,72.92390,3,121.4
87608b1a3ffffff,18.93474,72.92390,4,72.4
87608b1a3ffffff,18.93474,72.92390,5,65.2
87608b1a3ffffff,18.93474,72.92390,6,69.3
87608b1a3ffffff,18.93474,72.92390,7,64.9
87608b1a3ffffff,18.93474,72.92390,8,69.2
87608b1a3ffffff,18.93474,72.92390,9,160.7
87608b1a3ffffff,18.93474,72.92390,10,168.0
87608b1a3ffffff,18.93474,72.92390,11,163.7
87608b1a3ffffff,18.93474,72.92390,12,159.8
87608b1a3ffffff,18.93474,72.92390,13,154.9
87608b1a3ffffff,18.93474,72.92390,14,128.1
87608b1a3ffffff,18.93474,72.92390,15,111.4
87608b1a3ffffff,18.93474,72.92390,16,82.3
87608b1a3ffffff,18.93474,72.92390,17,66.7
87608b1a3ffffff,18.93474,72.92390,18,72.2
87608b1a3ffffff,18.93474,72.92390,19,66.0
87608b1a3ffffff,18.93474,72.92390,20,64.4
87608b1a3ffffff,18.93474,72.92390,21,133.2
87608b1a3ffffff,18.93474,72.92390,22,178.0
87608b1a3ffffff,18.93474,72.92390,23,158.4
87608b1a3ffffff,18.93474,72.92390,24,167.8
87608b1a3ffffff,18.93474,72.92390,25,148.5
87608b1a3ffffff,18.93474,72.92390,26,134.1
87608b1a3ffffff,18.93474,72.92390,27,98.2
87608b1a3ffffff,18.93474,72.92390,28,81.1
87608b1a3ffffff,18.93474,72.92390,29,70.5
87608b1a3ffffff,18.93474,72.92390,30,65.5
87608b1a3ffffff,18.93474,72.92390,31,65.1
