# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Chennai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87618c4acffffff,13.00832,80.31397,41,75.3
87618c4adffffff,13.00102,80.29212,0,106.1
87618c4adffffff,13.00102,80.29212,1,95.8
87618c4adffffff,13.00102,80.29212,2,78.2
87618c4adffffff,13.00102,80.29212,3,73.8
87618c4adffffff,13.00102,80.29212,4,100.6
87618c4adffffff,13.00102,80.29212,5,98.7
87618c4adffffff,13.00102,80.29212,6,60.2
87618c4adffffff,13.00102,80.29212,7,78.1
87618c4adffffff,13.00102,80.29212,8,71.2
87618c4adffffff,13.00102,80.29212,9,92.3
87618c4adffffff,13.00102,80.29212,10,63.5
87618c4adffffff,13.00102,80.29212,11,82.4
87618c4adffffff,13.00102,80.29212,12,91.1
87618c4adffffff,13.00102,80.29212,13,74.8
87618c4adffffff,13.00102,80.29212,14,75.9
87618c4adffffff,13.00102,80.29212,15,63.2
87618c4adffffff,13.00102,80.29212,16,62.0
87618c4adffffff,13.00102,80.29212,17,74.5
87618c4adffffff,13.00102,80.29212,18,60.0
87618c4adffffff,13.00102,80.29212,19,66.9
87618c4adffffff,13.00102,80.29212,20,68.9
87618c4adffffff,13.00102,80.29212,21,74.2
87618c4adffffff,13.00102,80.29212,22,77.3
87618c4adffffff,13.00102,80.29212,23,70.3
87618c4adffffff,13.00102,80.29212,24,96.3
87618c4adffffff,13.00102,80.29212,25,84.7
87618c4adffffff,13.00102,80.29212,26,69.9
87618c4adffffff,13.00102,80.29212,27,69.6
87618c4adffffff,13.00102,80.29212,28,81.9
87618c4adffffff,13.00102,80.29212,29,70.8
87618c4adffffff,13.00102,80.29212,30,58.8
87618c4adffffff,13.00102,80.29212,31,71.0
87618c4adffffff,13.00102,80.29212,32,71.4
87618c4adffffff,13.00102,80.29212,33,60.8
87618c4adffffff,13.00102,80.29212,34,88.8
87618c4adffffff,13.00102,80.29212,35,105.5
87618c4adffffff,13.00102,80.29212,36,105.8
87618c4adffffff,13.00102,80.29212,37,91.6
87618c4adffffff,13.00102,80.29212,38,72.0
87618c4adffffff,13.00102,80.29212,39,56.2
87618c4adffffff,13.00102,80.29212,40,71.3
87618c4adffffff,13.00102,80.29212,41,75.3
87618c4aeffffff,13.03102,80.31890,0,106.1
87618c4aeffffff,13.03102,80.31890,1,95.8
87618c4aeffffff,13.03102,80.31890,2,78.2
87618c4aeffffff,13.03102,80.31890,3,73.8
87618c4aeffffff,13.03102,80.31890,4,100.6
87618c4aeffffff,13.03102,80.31890,5,98.7
87618c4aeffffff,13.03102,80.31890,6,60.2
87618c4aeffffff,13.03102,80.31890,7,78.1
87618c4aeffffff,13.03102,80.31890,8,71.2
87618c4aeffffff,13.03102,80.31890,9,92.3
87618c4aeffffff,13.03102,80.31890,10,63.5
87618c4aeffffff,13.03102,80.31890,11,82.4
87618c4aeffffff,13.03102,80.31890,12,91.1
87618c4aeffffff,13.03102,80.31890,13,74.8
87618c4aeffffff,13.03102,80.31890,14,75.9
87618c4aeffffff,13.03102,80.31890,15,63.2
87618c4aeffffff,13.03102,80.31890,16,62.0
87618c4aeffffff,13.03102,80.31890,17,74.5
87618c4aeffffff,13.03102,80.31890,18,60.0
87618c4aeffffff,13.03102,80.31890,19,66.9
87618c4aeffffff,13.03102,80.31890,20,68.9
87618c4aeffffff,13.03102,80.31890,21,74.2
